id,container_name,internal_port,external_port,mapping_name,mapping_value,protocol
1,dcpd,51763,51763,,,tcp
2,dcpd,8080,8081,,,tcp
3,caddy,2019,2019,,,tcp
4,caddy,443,443,,,tcp
5,caddy,5888,5888,,,tcp
6,caddy,8069,8069,,,tcp
7,qrcode-generator,80,8148,,,tcp
8,vscodium,3000,3003,,,tcp
9,calibre,8080,8098,,,tcp
10,calibre,8101,8091,,,tcp
11,gitea,3000,3069,,,tcp
12,mailrise,8025,8025,,,tcp
13,semaphore,3000,3100,,,tcp
14,sarchart,3000,3269,,,tcp
15,wireguard,51820,8140,,,udp
16,haproxy,8404,8404,,,tcp
17,haproxy,8405,8405,,,tcp
18,doublecommander,3000,3001,,,tcp
19,overseerr,5055,5055,,,tcp
20,influxdb,8086,8086,,,tcp
21,prometheus,9090,9191,,,tcp
22,runner,3000,3072,,,tcp
23,adguardhome-sync,8080,8133,,,tcp
24,fasten,8080,9091,,,tcp
25,kasm,3000,3149,,,tcp
26,kasm,4443,4443,,,tcp
27,changedetection,5000,8144,,,tcp
28,speedtest-tracker,80,8765,,,tcp
29,apprise-api,8000,8084,,,tcp
30,libreoffice,3006,3006,,,tcp
31,homarr,7575,7575,,,tcp
32,jellyfin,8096,8110,,,tcp
33,podfetch,8000,8155,,,tcp
34,freshrss,80,6280,,,tcp
35,qdirstat,3000,5800,,,tcp
36,healthchecks,8000,8114,,,tcp
37,sqlitebrowser,3000,8109,,,tcp
38,beets,8337,8337,,,tcp
39,xbackbone,80,8083,,,tcp
40,registry-browser,8080,5025,,,tcp
41,grafana,3000,3000,,,tcp
42,pairdrop,3000,3002,,,tcp
43,mosquitto,9001,9001,,,tcp
44,mosquitto,9002,9002,,,tcp
45,npm,80,80,,,tcp
46,npm,81,81,,,tcp
47,photoprism,2342,8143,,,tcp
48,n8n,5678,5678,,,tcp
49,yarr,7070,7070,,,tcp
50,influxdb-ui,80,8108,,,tcp
51,jellyseerr,5055,5056,,,tcp
52,theme-park,80,8100,,,tcp
53,mealie,3000,3010,,,tcp
54,mealie,9000,9010,,,tcp
55,movary,80,8151,,,tcp
56,sshwifty,8182,8182,,,tcp
57,whatsupdocker,8841,8841,,,tcp
58,cadvisor,8080,8104,,,tcp
59,tdarr,8265,8265,,,tcp
60,tdarr,8266,8266,,,tcp
61,registry_mirror,5000,5002,,,tcp
62,container-web-tty,8080,8105,,,tcp
63,hastebin,7777,7777,,,tcp
64,drone,443,3071,,,tcp
65,drone,80,3070,,,tcp
66,sabnzbd_exporter,9387,9387,,,tcp
67,vaultwarden,80,8087,,,tcp
68,flame,5005,5005,,,tcp
69,ddns-updater,8000,8103,,,tcp
70,mediainfo,5800,5802,,,tcp
71,registry-ui,80,5001,,,tcp
72,apt-cacher-ng,3142,3142,,,tcp
73,homebox,7745,7745,,,tcp
74,mealie_old,80,8147,,,tcp
75,mealie_old,9003,9003,,,tcp
76,wikijs,3000,8112,,,tcp
77,renderer,8081,8088,,,tcp
78,dash,3001,8149,,,tcp
79,uptime-kuma,3001,8142,,,tcp
80,openspeedtest,3000,8128,,,tcp
81,openspeedtest,3001,8129,,,tcp
82,discount-bandit,80,8156,,,tcp
83,navidrome,4533,4533,,,tcp
84,mediatracker,7481,7481,,,tcp
85,tailon,8085,8085,,,tcp
86,gotify,80,8132,,,tcp
87,dozzle,1224,8888,,,tcp
88,glances,61208,61208,,,tcp
89,prom-plex-exporter,9000,9004,,,tcp
90,mysql,3306,3306,,,tcp
91,plugsy,3000,8130,,,tcp
92,filebrowser,8090,8090,,,tcp
93,gaps,8484,8135,,,tcp
94,ara-api,8000,9450,,,tcp
95,ttyd,7681,7681,,,tcp
96,portainer,9000,9000,,,tcp
97,psitransfer,3000,4001,,,tcp
98,argus,8111,8111,,,tcp
99,mysql-workbench,3000,3120,,,tcp
100,mysql-discount-bandit,3306,3307,,,tcp
101,hueplex,3939,3939,,,tcp
102,registry,5000,5000,,,tcp
103,wireguard-pia,17442,8118,,,tcp
104,wireguard-pia,3579,3579,,,tcp
105,wireguard-pia,4848,4848,,,tcp
106,wireguard-pia,4849,4849,,,tcp
107,wireguard-pia,5299,5299,,,tcp
108,wireguard-pia,5800,5801,,,tcp
109,wireguard-pia,6767,8096,,,tcp
110,wireguard-pia,6881,6881,,,tcp
111,wireguard-pia,6969,6969,,,tcp
112,wireguard-pia,6970,6970,,,tcp
113,wireguard-pia,7878,8095,,,tcp
114,wireguard-pia,80,8107,,,tcp
115,wireguard-pia,8080,8080,,,tcp
116,wireguard-pia,8083,8089,,,tcp
117,wireguard-pia,8113,8113,,,tcp
118,wireguard-pia,8181,8099,,,tcp
119,wireguard-pia,8191,8191,,,tcp
120,wireguard-pia,8686,8686,,,tcp
121,wireguard-pia,8787,8094,,,tcp
122,wireguard-pia,8989,8079,,,tcp
123,wireguard-pia,9696,9696,,,tcp
124,adguardhome,,,host.mapping,53,
125,adguardhome,,,host.mapping1,67,
126,adguardhome,,,host.mapping2,784,
127,adguardhome,,,host.mapping3,853,
128,adguardhome,,,host.mapping4,5443,
129,adguardhome,,,host.mapping5,8126,
130,sonarr,,,port.mapping,8079,
131,readarr,,,port.mapping,8094,
132,radarr,,,port.mapping,8095,
133,tautulli,,,port.mapping,8099,
134,lidarr,,,port.mapping,8686,
135,sabnzbd,,,port.mapping,8080,
136,netdata,,,host.mapping,19999,
137,prowlarr,,,port.mapping,9696,
138,homeassistant,,,host.mapping,9988,
139,bazarr,,,port.mapping,8096,
140,plex,,,host.mapping,32400,
141,vnstat,,,host.mapping,8685,
142,lazylibrarian,,,port.mapping,5299,
143,flaresolverr,,,port.mapping,8191,
144,calibre-web,,,port.mapping,8089,
145,qbittorrent,,,port.mapping,8113,
146,qbittorrent,,,port.mapping1,6881,
147,whisparr2,,,port.mapping,6970,
148,upsnap,,,host.mapping,8082,
149,iotop,,,host.mapping,6383,
150,gptwol,,,host.mapping,8600,
151,homebridge,,,host.mapping,8102,
152,watchyourlan,,,host.mapping,8840,
153,whisparr,,,port.mapping,6969,
154,ytdl_material,,,port.mapping,8118,
155,tubesync,,,port.mapping1,4849,
156,tubesync,,,port.mapping,4848,
157,openbooks,,,port.mapping,8107,
158,ombi,,,port.mapping,3579,
159,jdownloader-2,,,port.mapping,5801,
